s_id,r_id,app_name,app_id,date,title,review,rating
0,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,1.,3
1,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,I've been waiting for an hour so far for my lunch.,3
2,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,An hour after the delivery time which already was an hour!,3
3,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,2 hrs!,3
4,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,The driver made at least FIVE other deliveries and she's not done yet.,3
5,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,I'm not paying extra per order to have my meal come straight to me.,3
6,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,She was at the restaurant quickly to pick my food up but then delivered to so many others!.2.,3
7,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,This is not the drivers fault.,3
8,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,If they agree to accept every delivery then it is what it is.,3
9,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,It's hit or miss if your food will be 20 mins or 2 hours.,3
10,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,"For as much as you pay per order so everyone profits, it's not worth waiting so long for the order.",3
11,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,And guaranteed it'll be nice and cold.,3
12,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,😠 or something will be missing.,3
13,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,Refunding my money doesn't make my food good or help with a missing item.,3
14,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,I've had to reorder from places to make sure I actually get what is correct.,3
15,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,Anyone else have picky kids??,3
16,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,You can't even eat and enjoy food when your child's doesn't come or has crap on it that you didn't order!!.3.,3
17,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,The area to leave directions to the house is way too small.,3
18,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,My neighbors are getting angry that cars are always at their house and I'm getting annoyed trying to reduce the directions down to.,3
19,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,250 characters.,3
20,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,"So if it's not clear, the drivers get confused and my neighbors and I are annoyed.",3
21,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,Whose fault??,3
22,0,grubhub,302920553,2022-10-06 18:04:56,Drivers are doing too much,FIX IT.,3
23,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,They blocked my account in sept I have followed the email steps and still have not yet received any response.,1
24,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,They will block you for any little thing especially when some things are out of your control.,1
25,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,For example I will have two deliveries my first delivery pick up would be my last drop off.,1
26,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,The time stamp would be to drop my second delivery off first at 3:38 but my first delivery time stamp would be 3:36 how is that even possible ?,1
27,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,I had NUMEROUS deliveries like this one.,1
28,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,"They will constantly send me alerts about delivering orders late, but how when this is what the apps/system suggests me to do.",1
29,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,I'm only following what's giving to me.,1
30,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,Also you would get a delivery request but the restaurant would just be getting it when you arrive and you'll have to wait for the order to be done.,1
31,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,"I put in the app ""order not started until I arrived "" you would think they will adjust your time stamp to deliver.",1
32,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,You can't put a time on how fast food is prepared.,1
33,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,A lot of things needs to be updated so future drivers like myself won't have such a headache when trying to make a living.,1
34,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,I started this in July and I'm already blocked in September and as of currently still no response or update regarding my account.,1
35,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,You guys should get customer service employee's to help with blocked accounts instead of having drivers waiting and responding to emails that never receive a reply!,1
36,2,grubhub,302920553,2022-09-26 16:54:30,Used to love GrubHub until I was hacked,I've used GrubHub for years and thought it was great!,4
